keyword,count
연기,255
배우,179
유해진,88
연출,66
많이,59
영화가,51
스토리,50
연출이,45
좋은,40
이게,39
기대를,39
영화는,37
솔직히,35
유해진의,32
왕과,30
호랑이,29
천만,28
연출은,28
장항준,28
사는,27
뻔한,27
억지,26
스토리가,26
감독,26
기대가,26
남자,25
별로,24
감독의,24
배우의,24
조금,23
