period,review_count,positive_ratio,avg_review_length,median_review_length,avg_like_count,image_ratio
초반,21115,0.9742363248875208,41.841439734785695,31.0,0.309448259531139,0.00985081695477149
중반,18781,0.9725254246312763,42.489271071827915,32.0,0.29231670305095575,0.010915286725946435
후반,6700,0.9591044776119403,41.30044776119403,30.0,0.6783582089552239,0.011343283582089553
