term,tfidf_mean
연기가,0.031887468016080625
연기,0.02415347346836162
배우들의,0.023943708422511048
유해진,0.022590163197163463
봤습니다,0.02173413059636676
박지훈,0.019220119148884905
배우들,0.017976030068927326
오랜만에,0.016690648416969895
재밌게,0.016245111400608157
좋았어요,0.01608540157923615
봤어요,0.01565919205473283
재미있게,0.014237299673054081
단종,0.013074713143453083
눈물이,0.013059091098103666
좋았습니다,0.012568949859305232
단종의,0.012330564874760976
좋은,0.010818418355679267
배우,0.010316390209805631
눈물,0.008809169090604285
많이,0.008770811838277845
역사를,0.008676525532756744
여운이,0.008502596251467947
영화를,0.008499519769942999
감동,0.008025975702075838
잘봤습니다,0.007934551968605175
다시,0.007869973846875421
배우의,0.007842055101578444
연기를,0.0076448417875354235
연기에,0.007574196221747984
좋아요,0.007391031377377703
연기도,0.007244752377417584
역시,0.007140757932300624
영화입니다,0.00707491952038353
슬픈,0.007069159558887868
연기는,0.006877560717835333
유해진의,0.006832712949729667
최고,0.006761348704663195
슬프고,0.006688725870860473
간만에,0.006607222071441578
알고,0.00653552363620603
역사,0.0062285878357688194
몰입해서,0.005906935732615576
마음이,0.005881927792062285
마지막,0.0058334298406057
연기력이,0.00577453441570075
영화가,0.005692415306172221
영화였습니다,0.005674863388396632
좋았고,0.005655506542351351
모두,0.005643827024071514
스토리,0.0055695415286298325
한명회,0.0055620653951253644
왕과,0.005552469346283555
단종이,0.0055394976577775226
연기력,0.0055342583770014815
보았습니다,0.005531667910381197
모든,0.005457000764343297
배우분들,0.005353343749632519
함께,0.00531937002228071
배우님,0.005290894397500467
장항준,0.005240586816444031
사는,0.0052057137940783324
천만,0.005130894120324042
마지막에,0.005091983684241222
남자,0.005060946158559936
감사합니다,0.005011557595649802
박지훈의,0.0049681128009054325
슬퍼요,0.00495564399496282
역사가,0.00491921269653579
슬펐어요,0.004860391104359693
몰입감,0.004853816795720301
결말을,0.0048430934793413285
영화는,0.004767531620919552
역사적,0.004735354006071938
다들,0.0046816353575195825
배우님들,0.004566325975729151
이야기,0.004564061722058776
역사의,0.004552993575156681
유해진이,0.0045321950790904435
울고,0.004495668604302168
보세요,0.004492466323583809
아는,0.004488678500912307
감동적인,0.00446816059574681
봤네요,0.0044600894825427735
재밌어요,0.00443987164933564
재밌고,0.004401848486032167
너무너무,0.004321595137115499
시간,0.004306359790741497
눈빛이,0.004290675778984661
같이,0.0042891383664375475
연기와,0.00422220769918926
영화였어요,0.004212830163815268
잘봤어요,0.004203905625322486
보기,0.004203547777224485
봐도,0.0041721000146602225
유해진님,0.004140984955887126
추천합니다,0.0041375300755158734
이렇게,0.0041298558905434385
특히,0.004121544993069013
계속,0.004098552836171932
한번,0.0040174687786838316
재밌었어요,0.004007069630563687
가슴이,0.003993278327684031
웃고,0.003989207617890163
어린,0.003982840739942615
모르고,0.0039619037352402915
좋고,0.0039351992364848425
아주,0.0039058219575722384
배우들이,0.0038736549087752268
남는,0.0038511063870245695
감동이,0.0038354994775271715
좋았다,0.003818260338571411
감독님,0.003785417234746103
연출,0.003776308315936515
역사에,0.0037462350170281867
펑펑,0.003668407892207701
감동적이고,0.0036631612373170495
유지태,0.003631582718137089
최고의,0.003570086788630812
내내,0.003545701648272964
웃다가,0.003505614324610392
몰입감이,0.0034460833933332006
울었어요,0.003440890949610548
눈물을,0.003312672823499785
박지훈이,0.0032712593586415595
영화네요,0.003260338607190572
시간이,0.003242516741077229
