trigram,count
유해진과 박지훈 연기,12
배우님들 연기 최고,12
단종의 삶에 대해,12
배우님들 연기 잘하셔서,12
유해진 연기 차력쇼,12
배우 연기 훌륭하고,12
배우 연기도 최고,12
가는줄 모르고 봤네요,11
좋고 배우 연기,11
배우 연기 다했다,11
배우 연기 다들,11
모든 배우의 연기,11
박지훈의 눈빛 연기,11
배우 눈빛 연기,11
박지훈 연기 최고,11
박지훈 연기 잘해요,11
배우 연기 대단합니다,11
다른 배우 연기도,11
여운 남는 영화를,11
배우 연기도 잘하고,11
배우 연기력 최고,11
배우 연기에 빠져서,11
배우 연기에 몰입감이,11
유해진 연기 좋아요,11
배우와 유해진 배우의,11
유해진 배우의 연기력이,11
배우 전미도 배우,11
박지훈 배우 연기에,11
박지훈 배우 눈이,11
연기 좋아서 몰입이,11
연기 잘해서 몰입감,11
안아 단종 안아,11
알고 봐도 눈물,11
아쉬웠지만 배우 연기,11
역사가 지우려 했던,11
영화다운 영화를 봤네요,11
모두 연기 잘해서,11
오랜만에 감동적인 영화를,11
이미 결말을 알고,11
처음부터 끝까지 몰입해서,11
주연 배우 연기,11
좋은 영화를 봤습니다,11
같이 보기 좋은,11
감히 왕족을 능멸하는가,10
남자 the king,10
영화였습니다 배우 연기,10
역시 유해진 연기,10
연기 스토리 모두,10
역사를 다시 알게,10
역시 믿고 유해진,10
여운 가시질 않네요,10
유해진 연기 잘해요,10
사는 남자 the,10
사는 남자 재미있게,10
배우들이 연기 잘해요,10
배우 연기 훌륭해서,10
배우 연기도 훌륭하고,10
배우 연기 좋았는데,10
배우 연기 좋은,10
배우 연기 최고에요,10
배우 연기 일품이었습니다,10
배우 연기 때문에,10
배우 연기 말할,10
배우 명품 연기,10
배우 연기 너무나,10
배우 연기 대단하네요,10
박지훈 배우님과 유해진,10
모든 배우님들의 연기,10
재미 있게 봤습니다,10
