keyword,count
연기,10705
배우,8296
유해진,3470
박지훈,2964
눈물,2945
봤습니다,2518
오랜만에,2295
단종의,1851
단종,1643
좋았습니다,1537
좋은,1491
재미있게,1355
영화를,1280
많이,1270
여운,1247
역사를,1167
다시,1080
배우의,1055
연기에,1006
연기도,996
알고,966
감동,938
영화입니다,843
슬픈,838
역사,788
역시,786
최고,785
모든,758
영화가,757
슬프고,754
