keyword,count
연기는,95
유해진,88
연기,71
배우들의,69
연출,66
연기가,60
많이,59
배우들,57
영화가,51
스토리,50
배우,49
연출이,45
좋은,40
이게,39
기대를,39
영화는,37
느낌,37
솔직히,35
유해진의,32
왕과,30
호랑이,29
천만,28
연출은,28
장항준,28
사는,27
뻔한,27
억지,26
스토리가,26
감독,26
기대가,26
