trigram,count
배우들의 연기가 돋보인,11
배우들의 연기 좋았습니다,11
배우들 연기가 좋네요,11
배우들의 연기가 몰입도를,11
유해진 연기 최고,11
유해진 배우의 연기력이,11
배우들 연기 스토리,11
배우님들 연기 최고,11
박지훈 배우님 눈빛,11
좋아서 몰입해서 봤어요,11
배우의 눈빛 연기가,11
배우들의 연기에 박수를,11
사는 남자 봤어요,11
봤어요 배우들의 연기가,11
안아 단종 안아,11
여운이 남는 영화를,11
배우들의 연기가 좋았음,11
배우들의 연기가 좋아,11
배우와 유해진 배우의,11
연기가 인상 깊었습니다,11
역사가 지우려 했던,11
연기가 좋아서 몰입이,11
처음부터 끝까지 몰입해서,11
특히 박지훈 배우,11
영화다운 영화를 봤네요,11
가족들과 재밌게 봤습니다,11
오랜만에 재밌게 봤어요,11
좋은 영화를 봤습니다,11
너무너무 재밌게 봤습니다,11
같이 보기 좋은,11
감히 왕족을 능멸하는가,10
결말을 알고 봤지만,10
결말을 알고 있음에도,10
남자 the king,10
최고에요 최고에요 최고에요,10
함께 보기 좋아요,10
연기에 웃고 울고,10
오랜만에 감동적인 영화를,10
오랜만에 극장에서 볼만한,10
연기 스토리 모두,10
연기가 좋았고 특히,10
여운이 오래 남네요,10
역사를 다시 알게,10
안아 홍위 안아,10
역시 믿고 유해진,10
역시 믿고보는 배우,10
아쉬운 부분도 있지만,10
봤습니다 배우들 연기가,10
여운이 가시질 않네요,10
사는 남자 the,10
사는 남자 재미있게,10
잘해서 몰입해서 봤어요,10
사는 남자 좋았어요,10
배우분들의 연기가 좋았습니다,10
배우들의 연기가 최고였습니다,10
배우들 연기도 좋았습니다,10
배우들의 연기력이 좋았습니다,10
배우들 연기가 좋습니다,10
배우들 연기에 몰입해서,10
박지훈의 눈빛과 유해진의,10
박지훈 유해진 연기가,10
유해진 연기 잘해요,10
유해진님 박지훈님 연기,10
배우 연기가 좋았습니다,10
박지훈 배우님과 유해진,10
배우들 연기 덕분에,10
