term,tfidf_mean
연기,0.05641511859245388
배우,0.04588125421447602
유해진,0.023790527125101053
봤습니다,0.023586098813130302
박지훈,0.020086114940565017
눈물,0.019735310297826235
오랜만에,0.01727596813151392
재미있게,0.015074373751216752
단종,0.013417351843731088
좋았습니다,0.01318306955520171
단종의,0.012589533554966432
좋은,0.011068227815586447
여운,0.009018414873715823
많이,0.009005743291320896
역사를,0.00893131488091967
영화를,0.008750754440168457
잘봤습니다,0.00822536819922138
감동,0.008177966687436752
배우의,0.0080717901333506
다시,0.008037630332330669
연기에,0.0077799296482254695
좋아요,0.007716544398687271
연기도,0.007685078759389304
슬프다,0.007412452544703023
역시,0.007336348505126506
슬픈,0.007248181031289189
영화입니다,0.007202436197402399
유해진의,0.007097420453123914
슬프고,0.007042155377642555
최고,0.006942660143540092
간만에,0.006810145365125669
알고,0.006671812007076855
역사,0.00638034814958807
몰입해서,0.006172674706340678
연기력이,0.005982673300848441
마음이,0.0059817274895061934
마지막,0.005981700961157106
스토리,0.005847554327810434
모두,0.005844356529262068
영화가,0.005840058508304143
영화였습니다,0.005799279552103578
보았습니다,0.00574831715474252
단종이,0.005679024255035683
모든,0.005662907748939708
연기력,0.0056608411000422425
왕과,0.005608990510997553
배우분들,0.0056065369967400165
한명회,0.005561106288066033
함께,0.005439096160361141
장항준,0.005316436317425048
사는,0.005279708913689052
마지막에,0.0052461537492979595
천만,0.00517410623064793
남자,0.005121508935883253
박지훈의,0.005119987394769701
감사합니다,0.00511420695902756
역사가,0.005035677813621308
슬퍼요,0.005032133492725513
몰입감,0.005027061580867244
영화는,0.004952561101345581
결말을,0.0049496028770999395
다들,0.004907575571510722
역사적,0.004834097789639842
배우님들,0.004706757963234159
역사의,0.004668126124495847
이야기,0.004656751521689938
울고,0.004618967776716538
아는,0.004612666516585659
감동적인,0.004587373413370068
보세요,0.0045848046330699745
봤네요,0.004576784954783466
너무너무,0.004568292756110815
유해진이,0.004563886903198948
같이,0.004473852804996631
시간,0.004402625966458595
연기와,0.004361600010346041
눈빛이,0.004358126070832321
보기,0.004352064561869236
잘봤어요,0.0043432646810184486
추천합니다,0.004327458802222755
유해진님,0.00429916997219679
특히,0.004298813850417055
영화였어요,0.004288152610925892
봐도,0.004253918938717796
계속,0.004186536643541917
좋고,0.004117232722263065
한번,0.00411285448982194
모르고,0.0040942334273239255
웃고,0.004086721881343836
재밌었어요,0.004063420015565883
가슴이,0.0040559464375172416
어린,0.004012421734166301
배우들이,0.0040120962465514725
감동이,0.0039208260880942754
남는,0.003919848666532613
연출,0.0039059093003788316
감동적이고,0.003837210200770683
역사에,0.003830606435225426
감독님,0.003804611730556256
펑펑,0.0037668634866307098
유지태,0.0037502480961494264
내내,0.0036150270768141994
웃다가,0.0035980153943932984
몰입감이,0.0035847374216657546
최고의,0.0035793918867428973
울었어요,0.0035141109998103183
눈물을,0.0034243766172683456
박지훈이,0.003400690756375973
가족들과,0.0033489634820724813
눈빛,0.003341806625771762
스토리가,0.0033284866209723003
영화네요,0.0033178617662229996
시간이,0.0032683719424664304
이야기를,0.00326549820090173
오랫만에,0.0032567961038453127
단종을,0.003256258940811979
연출이,0.0032402743949828945
있어서,0.0032129008559996525
대해,0.0032088778806185934
재미,0.00319790299462133
다른,0.00318087874291917
호랑이,0.00317806301927214
엄청,0.0031763543689627524
슬픔,0.0031760850674946374
영화관에서,0.003160477255418007
감동과,0.003149129278281893
감동을,0.003138046857595063
믿고보는,0.0031335761966597418
슬퍼서,0.003105842539148185
연기로,0.003087514099961054
좋네요,0.0030717089075252718
만든,0.0030651614574080553
있고,0.003057650892672521
영화로,0.003030525858050384
좋아서,0.0030205478787591043
단종과,0.00301062063007688
하고,0.00300514254788458
슬프네요,0.002999231253010286
믿고,0.002982773433838798
같습니다,0.0029665877645275018
배우가,0.002951811878871826
재미있고,0.00293607656182582
조금,0.0029302824808369187
감독의,0.002901745567060947
관람,0.002893382949320411
최고입니다,0.0028709818857421267
단종에,0.0028490097693210704
작품,0.002846549293638102
생각보다,0.0028257881826029155
이런,0.0028220691961740618
재미와,0.002775710104672502
관람했습니다,0.0027594735516144396
스토리도,0.0027557724035321466
없이,0.0027253317133714597
즐겁게,0.0027121694749539273
많은,0.0026841365258081147
배우분들의,0.0026717262972680853
울다가,0.0026675627249300167
가슴,0.002630585028120683
그래도,0.002614167493196815
잘해서,0.0026104207318000086
극장에서,0.002608236366523293
이미,0.0026080183915230086
너무나,0.0026026714029266243
대한,0.0025824821002948814
사극,0.0025623838893082114
감동적,0.0025570455531847233
몰입이,0.0025565209707179605
세조,0.0025509306981736693
생각이,0.0025281387582948792
