keyword,count
연기가,4867
연기,3765
배우들의,3634
유해진,3386
박지훈,2947
봤습니다,2520
배우들,2431
오랜만에,2286
봤어요,1940
좋았어요,1862
단종의,1829
눈물이,1819
재밌게,1713
단종,1625
좋았습니다,1531
좋은,1452
재미있게,1359
배우,1356
영화를,1261
많이,1211
여운이,1197
역사를,1163
눈물,1107
다시,1071
배우의,1031
연기에,999
연기도,988
연기를,987
알고,962
감동,933
