review_date,review_count,positive_ratio,avg_review_length,avg_like_count
2026-02-07,1195,0.9757322175732217,43.51464435146443,0.23514644351464434
2026-02-08,2395,0.9803757828810021,43.1482254697286,0.3093945720250522
2026-02-09,1315,0.9680608365019011,40.61977186311787,0.31863117870722435
2026-02-10,1129,0.9672276350752879,40.311780336581045,0.39681133746678476
2026-02-11,1091,0.9715857011915674,40.2346471127406,0.3904674610449129
2026-02-12,979,0.975485188968335,42.34627170582227,0.45454545454545453
2026-02-13,869,0.9746835443037974,41.361334867663984,0.3256616800920598
2026-02-14,1507,0.9747843397478434,40.81486396814864,0.46914399469143997
2026-02-15,1794,0.9804905239687849,41.765328874024526,0.3115942028985507
2026-02-16,1908,0.9711740041928721,40.5293501048218,0.2861635220125786
2026-02-17,1964,0.9745417515274949,41.96028513238289,0.3121181262729124
2026-02-18,2363,0.9741853575962759,42.69572577232332,0.2234447735928904
2026-02-19,1488,0.9751344086021505,41.99596774193548,0.22849462365591397
2026-02-20,1118,0.9677996422182469,43.25939177101968,0.1771019677996422
2026-02-21,1612,0.9720843672456576,42.61104218362283,0.3294044665012407
2026-02-22,1779,0.9730185497470489,41.93479482855537,0.2568858909499719
2026-02-23,1088,0.9770220588235294,42.556985294117645,0.3005514705882353
2026-02-24,749,0.9813084112149533,43.51268357810414,0.16154873164218958
2026-02-25,1335,0.9715355805243445,43.944569288389516,0.1752808988764045
2026-02-26,1042,0.9798464491362764,42.76679462571977,0.45393474088291746
2026-02-27,784,0.9693877551020408,42.13520408163265,0.27168367346938777
2026-02-28,1241,0.9774375503626108,42.99033037872683,0.39161966156325545
2026-03-01,1564,0.9699488491048593,41.933503836317136,0.25191815856777494
2026-03-02,1697,0.9699469652327637,42.377725397760756,0.24101355332940483
2026-03-03,791,0.9785082174462706,43.97977243994943,0.27560050568900124
2026-03-04,634,0.9842271293375394,42.194006309148264,0.18769716088328076
2026-03-05,619,0.9725363489499192,42.95153473344104,0.42326332794830374
2026-03-06,596,0.9731543624161074,43.038590604026844,0.2835570469798658
2026-03-07,1019,0.9666339548577036,41.702649656526006,0.2787046123650638
2026-03-08,1151,0.9609035621198957,41.327541268462205,0.18071242397914858
2026-03-09,624,0.9727564102564102,41.84775641025641,0.483974358974359
2026-03-10,456,0.9583333333333334,41.098684210526315,0.6206140350877193
2026-03-11,427,0.9695550351288056,42.030444964871194,0.34894613583138173
2026-03-12,368,0.9565217391304348,41.50271739130435,0.2391304347826087
2026-03-13,404,0.9628712871287128,44.084158415841586,0.4282178217821782
2026-03-14,630,0.9650793650793651,39.333333333333336,0.27936507936507937
2026-03-15,681,0.9662261380323054,41.20851688693099,0.5242290748898678
2026-03-16,359,0.9777158774373259,41.551532033426184,0.9693593314763231
2026-03-17,334,0.9550898203592815,41.1437125748503,0.281437125748503
2026-03-18,331,0.9667673716012085,42.64350453172205,0.7673716012084593
2026-03-19,276,0.9492753623188406,42.35144927536232,0.6956521739130435
2026-03-20,305,0.9639344262295082,43.540983606557376,0.9704918032786886
2026-03-21,404,0.9653465346534653,41.992574257425744,0.594059405940594
2026-03-22,499,0.9599198396793587,38.24448897795591,1.088176352705411
2026-03-23,278,0.9244604316546763,38.568345323741006,1.0179856115107915
2026-03-24,168,0.9047619047619048,45.666666666666664,1.3452380952380953
2026-03-25,294,0.95578231292517,40.77210884353742,0.4387755102040816
2026-03-26,206,0.9223300970873787,40.25242718446602,1.0485436893203883
2026-03-27,183,0.9562841530054644,40.060109289617486,1.1202185792349726
2026-03-28,279,0.974910394265233,40.56989247311828,1.1290322580645162
2026-03-29,274,0.9598540145985401,42.79197080291971,0.9525547445255474
