keyword,count
연기가,4927
연기,3836
배우들의,3703
유해진,3474
박지훈,2969
봤습니다,2528
배우들,2488
오랜만에,2295
봤어요,1946
좋았어요,1868
단종의,1852
눈물이,1825
재밌게,1720
단종,1647
좋았습니다,1538
좋은,1492
배우,1405
재미있게,1359
영화를,1280
많이,1270
여운이,1199
역사를,1167
눈물,1124
다시,1081
배우의,1055
연기에,1006
연기를,1005
연기도,996
알고,967
감동,939
