bigram,count
유해진님 연기가,37
박지훈과 유해진의,37
아픈 역사,37
호랑이 cg는,37
단종의 역사를,37
연기가 좋고,37
배우님의 연기가,37
연기력 최고,37
단종 박지훈,37
연기 대박,37
눈물이 많이,37
연기가 좋습니다,36
많이 남네요,36
감동적인 영화입니다,36
즐겁게 봤습니다,36
알고 봤지만,36
보기 좋았어요,36
배우들의 연기력으로,36
배우님들 연기도,36
배우들 연기와,36
연출 모두,35
마지막 장면,35
오랜만에 재미있게,35
오랜만에 영화관,35
연기가 미쳤습니다,35
마음을 울리는,35
돈이 아깝지,35
잼나게 봤어요,35
가족끼리 보기,35
시간가는 모르고,35
있고 감동도,35
유해진과 박지훈,35
유해진 연기에,35
눈물이 계속,35
휴지 챙겨가세요,34
웃음과 감동,34
재미있게 봤네요,34
말할것도 없고,34
아이와 함께,34
유해진님 연기에,34
웃고 울며,34
연기 미쳤어요,34
연기 잘하시고,34
울면서 봤네요,34
다시 보게,34
오랜만에 몰입해서,34
배우들의 연기력과,34
마음이 아프네요,34
좋아요 좋아요,34
천만 가즈아,33
배우의 연기력이,33
유해진 전미도,33
박지훈의 눈빛이,33
울다가 웃다가,33
봤습니다 배우들,33
많이 웃고,33
연기가 일품입니다,32
단종과 엄흥도,32
배우의 눈빛이,32
너무나 재미있게,32
배우분들 연기력이,32
단종과 엄홍도의,32
마지막 장면에서,32
배우님 연기는,32
배우 연기에,32
영화보는 내내,32
결말을 알기에,32
감동적인 영화였어요,32
좋았어요 특히,32
감독의 연출이,32
엄청 울었어요,32
아이들과 함께,32
슬픈 이야기,32
스토리 모두,32
아는 역사지만,32
재밌게 봤네요,31
펑펑 울고,31
아픈 역사를,31
마지막엔 눈물이,31
역사에 관심이,31
단종 자체,31
역사적 사실과,31
오랜만에 감동적인,31
연기가 인상,31
그럼에도 불구하고,31
감동적인 영화였습니다,31
여운이 남아,31
얼굴만 봐도,31
사실을 기반으로,31
단종의 마지막을,31
간만에 영화다운,31
기대를 많이,31
눈물 흘리며,31
연기가 최고,31
연기는 말할것도,31
결말을 알지만,30
최고의 영화입니다,30
천만 가자,30
좋았어요 좋았어요,30
잼있게 봤어요,30
감동적인 영화를,30
연기를 잘하네요,30
눈물이 멈추질,30
마지막 장면은,30
다시 싶은,30
다시 봐도,30
많이 울었습니다,30
알고 있었는데,30
알고 있던,30
몰입해서 봤네요,30
스토리와 배우들의,30
있어서 좋았고,30
재미 있게,30
눈물이 주루룩,30
오랜만에 영화를,30
감동 재미,29
감동과 재미가,29
최고 최고,29
펑펑 울면서,29
봤어요 유해진,29
재미있게 잘봤어요,29
이렇게 연기를,29
어린 왕의,29
박지훈 배우는,29
웃음 감동,29
박지훈 배우와,29
남는 영화였어요,29
울다 웃다,29
눈빛만 봐도,29
눈물이 납니다,29
연기 잘하셔서,29
연기를 잘함,29
배우님들의 연기,29
배우들 모두,29
알고 보는데도,29
역사 이야기,29
연기자들의 연기가,29
배우와 박지훈,29
너무너무 재밌게,29
있게 봤습니다,29
모든 배우분들,29
간만에 재밌게,28
연기 때문에,28
유지태 배우,28
감명깊게 봤습니다,28
결과를 알고,28
오랫만에 좋은,28
유지태 배우의,28
슬픈 역사의,28
후반부로 갈수록,28
박지훈 전미도,28
연기가 좋아,28
저도 모르게,27
천만 관객,27
예나 지금이나,27
연기에 눈물이,27
연기는 역시,27
배우들의 뛰어난,27
역사를 알게,27
아직도 여운이,27
유해진이 유해진했다,27
배우의 눈빛,27
단종 이홍위,27
영화가 끝나고,27
길게 남는,27
오랜만에 볼만한,27
후반으로 갈수록,27
펑펑 울었습니다,27
중간 중간,27
생각을 하게,27
주셔서 감사합니다,27
마음 아픈,27
엄마랑 같이,27
알게 되어,27
이미 아는,27
아주 좋았습니다,27
배우님들의 연기에,26
연기 또한,26
눈물이 났다,26
눈물이 나서,26
연기 다들,26
영화를 봐서,26
기대 이상으로,26
유지태 배우님,26
다들 보세요,26
눈빛이 계속,26
박지훈 얼굴이,26
박지훈 배우도,26
배우들의 훌륭한,26
여운이 남아요,26
유해진 연기력,26
눈물 광광,26
박지훈 단종,26
세조 한명회,26
슬프고 여운이,26
스토리도 좋고,26
특히 유해진님,26
모두 좋았어요,26
